f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,NetCharge,AromaticAtoms,AvgHydrophobicity,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,9.0,1.0,0.0,0.15555555555555556,5439.50390625
0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,-1.0,12.0,0.4666666666666666,14088.7197265625
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,6.0,0.5999999999999999,9385.7998046875
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,-0.18999999999999995,1681.536010742188
3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,0.1714285714285715,3221.10595703125
1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.7625,5789.43017578125
1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,-1.0,6.0,-1.2666666666666668,5281.64990234375
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,-0.5874999999999999,4482.90576171875
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,-1.0,6.0,-1.27,4644.7021484375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,8.0,1.0,12.0,-0.45,6659.10009765625
2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,23.0,1.0,11.0,0.19999999999999998,14959.4404296875
0.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,-6.0,6.0,-1.4947368421052631,12283.6796875
